Input File: f:\srs014.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    5
Integration Time:   15.625 ms
Integration Cycles:   40

    X[Hz]         Mag[dB]     
  1.000000e+00  -3.340295e+01 
  1.016307e+00  -3.732040e+01 
  1.032879e+00  -3.026644e+01 
  1.049722e+00  -3.044305e+01 
  1.066840e+00  -3.613552e+01 
  1.084237e+00  -3.601241e+01 
  1.101917e+00  -3.259953e+01 
  1.119886e+00  -4.064334e+01 
  1.138148e+00  -2.710522e+01 
  1.156707e+00  -3.097234e+01 
  1.175569e+00  -3.126090e+01 
  1.194739e+00  -3.216031e+01 
  1.214221e+00  -3.604485e+01 
  1.234021e+00  -3.801129e+01 
  1.254144e+00  -3.907105e+01 
  1.274595e+00  -4.213795e+01 
  1.295380e+00  -3.554299e+01 
  1.316504e+00  -3.881232e+01 
  1.337971e+00  -3.674633e+01 
  1.359789e+00  -4.860991e+01 
  1.381963e+00  -4.328653e+01 
  1.404499e+00  -3.715926e+01 
  1.427401e+00  -4.220871e+01 
  1.450678e+00  -4.383987e+01 
  1.474334e+00  -4.258384e+01 
  1.498375e+00  -3.872856e+01 
  1.522809e+00  -4.063107e+01 
  1.547641e+00  -3.786236e+01 
  1.572878e+00  -3.459433e+01 
  1.598527e+00  -3.108955e+01 
  1.624593e+00  -3.310192e+01 
  1.651085e+00  -3.119973e+01 
  1.678009e+00  -3.084877e+01 
  1.705372e+00  -2.808192e+01 
  1.733181e+00  -2.828487e+01 
  1.761444e+00  -2.665656e+01 
  1.790167e+00  -2.463023e+01 
  1.819359e+00  -2.546797e+01 
  1.849027e+00  -2.433181e+01 
  1.879179e+00  -2.274260e+01 
  1.909822e+00  -2.171538e+01 
  1.940965e+00  -2.007882e+01 
  1.972616e+00  -1.999494e+01 
  2.004783e+00  -1.887730e+01 
  2.037475e+00  -1.688360e+01 
  2.070699e+00  -1.652879e+01 
  2.104466e+00  -1.509980e+01 
