Input File: f:\srs011.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 25 Hz
Stop  Freq.: 800 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   40

    X[Hz]         UP[deg]     
  8.000000e-01   5.572003e-01 
  8.283035e-01   5.977691e-01 
  8.576083e-01   9.531631e-01 
  8.879499e-01   1.698830e-02 
  9.193650e-01   2.627215e-01 
  9.518915e-01   2.419371e-01 
  9.855688e-01  -1.420380e-01 
  1.020438e+00  -1.084262e+00 
  1.056540e+00  -4.581459e-01 
  1.093920e+00  -1.417461e+00 
  1.132622e+00  -2.161649e+00 
  1.172693e+00  -3.852933e+00 
  1.214182e+00  -4.881967e+00 
  1.257139e+00  -7.540190e+00 
  1.301616e+00  -7.146401e+00 
  1.347667e+00  -9.721650e-01 
  1.395346e+00   7.857348e+00 
  1.444712e+00   1.142481e+01 
  1.495825e+00   1.168289e+01 
  1.548747e+00   1.099742e+01 
  1.603540e+00   9.128781e+00 
  1.660273e+00   8.095243e+00 
  1.719012e+00   7.337605e+00 
  1.779829e+00   6.801144e+00 
  1.842799e+00   5.576503e+00 
  1.907996e+00   5.545395e+00 
  1.975499e+00   4.580625e+00 
  2.045391e+00   3.847925e+00 
  2.117756e+00   1.536307e+00 
  2.192681e+00  -1.401245e+00 
  2.270256e+00  -5.913262e+00 
  2.350576e+00  -1.827710e+01 
  2.433738e+00  -7.604545e+01 
  2.519842e+00  -1.611185e+02 
  2.608993e+00  -1.767084e+02 
  2.701297e+00  -2.008554e+02 
  2.796867e+00  -2.002816e+02 
  2.895818e+00  -2.009036e+02 
  2.998271e+00  -1.979482e+02 
  3.104347e+00  -1.981598e+02 
  3.214177e+00  -1.954538e+02 
  3.327893e+00  -1.959182e+02 
  3.445631e+00  -1.985428e+02 
  3.567535e+00  -1.989425e+02 
  3.693752e+00  -2.018866e+02 
  3.824435e+00  -2.056688e+02 
  3.959741e+00  -2.100066e+02 
  4.099834e+00  -2.109484e+02 
  4.244884e+00  -2.087696e+02 
  4.395064e+00  -1.943801e+02 
  4.550559e+00  -2.520029e+02 
  4.711555e+00  -2.996055e+02 
  4.878246e+00  -3.218722e+02 
  5.050836e+00  -3.315727e+02 
  5.229531e+00  -3.418700e+02 
  5.414548e+00  -3.453911e+02 
  5.606112e+00  -3.486867e+02 
  5.804452e+00  -3.524357e+02 
  6.009809e+00  -3.546915e+02 
  6.222433e+00  -3.565624e+02 
  6.442578e+00  -3.592406e+02 
  6.670512e+00  -3.611165e+02 
  6.906511e+00  -3.620164e+02 
  7.150858e+00  -3.679483e+02 
  7.403851e+00  -3.708054e+02 
  7.665794e+00  -3.771143e+02 
  7.937006e+00  -3.872586e+02 
  8.217812e+00  -3.982213e+02 
  8.508552e+00  -4.246860e+02 
  8.809579e+00  -4.562788e+02 
  9.121256e+00  -4.814897e+02 
  9.443960e+00  -4.957541e+02 
  9.778081e+00  -5.057101e+02 
  1.012402e+01  -5.100227e+02 
  1.048220e+01  -5.137275e+02 
  1.085306e+01  -5.159955e+02 
  1.123703e+01  -5.173258e+02 
  1.163459e+01  -5.194448e+02 
  1.204622e+01  -5.189713e+02 
  1.247240e+01  -5.207844e+02 
  1.291367e+01  -5.213718e+02 
  1.337054e+01  -5.216057e+02 
  1.384359e+01  -5.213902e+02 
  1.433336e+01  -5.219763e+02 
  1.484047e+01  -5.216755e+02 
  1.536551e+01  -5.217308e+02 
  1.590913e+01  -5.219333e+02 
  1.647199e+01  -5.218768e+02 
  1.705476e+01  -5.222112e+02 
  1.765814e+01  -5.238543e+02 
  1.828288e+01  -5.227469e+02 
  1.892971e+01  -5.237179e+02 
  1.959943e+01  -5.211700e+02 
  2.029285e+01  -5.232276e+02 
  2.101080e+01  -5.238083e+02 
  2.175414e+01  -5.217401e+02 
  2.252379e+01  -5.221956e+02 
  2.332067e+01  -5.232979e+02 
  2.414574e+01  -5.210037e+02 
  2.500000e+01  -5.248928e+02 
