Input File: f:\srs015.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 800 mHz
  1.803620e+00  -1.972083e+01 
  1.835088e+00  -1.983089e+01 
  1.867105e+00  -1.945833e+01 
  1.899680e+00  -1.957972e+01 
  1.932824e+00  -2.000976e+01 
  1.966546e+00  -1.970346e+01 
  2.000856e+00  -1.914277e+01 
  2.035765e+00  -1.956031e+01 
  2.071283e+00  -1.881320e+01 
  2.107421e+00  -1.930976e+01 
  2.144189e+00  -1.797631e+01 
  2.181599e+00  -1.718386e+01 
  2.219661e+00  -1.617392e+01 
  2.258388e+00  -1.528198e+01 
  2.297790e+00  -1.298606e+01 
  2.337880e+00  -1.081971e+01 
  2.378669e+00  -6.464237e+00 
  2.420169e+00   2.496119e+00 
  2.462394e+00   1.333788e+01 
  2.505356e+00  -1.457978e+00 
  2.549067e+00  -5.829792e+00 
  2.593540e+00  -8.239533e+00 
  2.638790e+00  -9.371368e+00 
  2.684829e+00  -1.035366e+01 
  2.731671e+00  -1.067198e+01 
  2.779331e+00  -1.089711e+01 
  2.827822e+00  -1.090504e+01 
  2.877159e+00  -1.035437e+01 
  2.927357e+00  -1.070357e+01 
  2.978431e+00  -1.127079e+01 
  3.030395e+00  -1.158380e+01 
  3.083267e+00  -1.140880e+01 
  3.137061e+00  -1.052897e+01 
  3.191793e+00  -9.886824e+00 
  3.247480e+00  -9.431269e+00 
  3.304139e+00  -8.526018e+00 
  3.361787e+00  -7.494611e+00 
  3.420440e+00  -7.228179e+00 
  3.480116e+00  -6.260358e+00 
  3.540834e+00  -5.144650e+00 
  3.602611e+00  -3.945354e+00 
  3.665466e+00  -3.015627e+00 
  3.729418e+00  -1.547068e+00 
  3.794485e+00  -7.079490e-02 
  3.860687e+00   1.218315e+00 
  3.928045e+00   2.559620e+00 
  3.996578e+00   4.537985e+00 
  4.066306e+00   6.146979e+00 
  4.137251e+00   8.303570e+00 
  4.209434e+00   1.113412e+01 
  4.282876e+00   1.274143e+01 
  4.357599e+00   1.659221e+01 
  4.433627e+00   2.015577e+01 
  4.510980e+00   1.962837e+01 
  4.589683e+00   1.680980e+01 
  4.669760e+00   1.503599e+01 
  4.751233e+00   1.382316e+01 
  4.834128e+00   1.231185e+01 
  4.918469e+00   1.080474e+01 
  5.004282e+00   1.019400e+01 
  5.091592e+00   9.230430e+00 
  5.180425e+00   8.301342e+00 
  5.270808e+00   6.752165e+00 
  5.362768e+00   6.067852e+00 
  5.456332e+00   5.690206e+00 
  5.551529e+00   4.802249e+00 
  5.648387e+00   4.733881e+00 
  5.746934e+00   4.726864e+00 
  5.847201e+00   4.386316e+00 
  5.949218e+00   3.819034e+00 
  6.053014e+00   3.524171e+00 
  6.158621e+00   3.332529e+00 
  6.266070e+00   3.115320e+00 
  6.375395e+00   3.148156e+00 
  6.486627e+00   3.079616e+00 
  6.599799e+00   3.257333e+00 
  6.714946e+00   3.448178e+00 
  6.832102e+00   3.575078e+00 
  6.951302e+00   3.707665e+00 
  7.072581e+00   4.177656e+00 
  7.195977e+00   4.394479e+00 
  7.321525e+00   4.863815e+00 
  7.449264e+00   5.255101e+00 
  7.579232e+00   5.773271e+00 
  7.711467e+00   6.607592e+00 
  7.846009e+00   7.137431e+00 
  7.982899e+00   8.156508e+00 
  8.122176e+00   8.676117e+00 
  8.263885e+00   9.330256e+00 
  8.408065e+00   1.059061e+01 
  8.554760e+00   1.142784e+01 
  8.704016e+00   1.099072e+01 
  8.855875e+00   1.011816e+01 
  9.010384e+00   9.482418e+00 
  9.167588e+00   8.106342e+00 
  9.327535e+00   6.708976e+00 
  9.490273e+00   5.812037e+00 
  9.655849e+00   4.300569e+00 
  9.824316e+00   3.062099e+00 
  9.995721e+00   2.196257e+00 
  1.017012e+01   1.037552e+00 
  1.034756e+01  -6.750771e-02 
  1.052809e+01  -9.345430e-01 
  1.071177e+01  -1.821333e+00 
  1.089866e+01  -2.549277e+00 
  1.108881e+01  -3.440400e+00 
  1.128228e+01  -4.126734e+00 
  1.147912e+01  -4.975252e+00 
  1.167940e+01  -5.671434e+00 
  1.188317e+01  -6.063608e+00 
  1.209049e+01  -6.848263e+00 
  1.230144e+01  -7.262077e+00 
  1.251606e+01  -8.281027e+00 
  1.273443e+01  -8.528750e+00 
  1.295661e+01  -9.343801e+00 
  1.318266e+01  -1.003781e+01 
  1.341266e+01  -1.034531e+01 
  1.364667e+01  -1.076553e+01 
  1.388476e+01  -1.147922e+01 
  1.412701e+01  -1.184531e+01 
  1.437349e+01  -1.225145e+01 
  1.462426e+01  -1.264585e+01 
  1.487941e+01  -1.298105e+01 
  1.513901e+01  -1.359038e+01 
  1.540314e+01  -1.428584e+01 
  1.567188e+01  -1.437665e+01 
  1.594531e+01  -1.526355e+01 
  1.622351e+01  -1.535277e+01 
  1.650656e+01  -1.601748e+01 
  1.679455e+01  -1.649571e+01 
  1.708757e+01  -1.662464e+01 
  1.738569e+01  -1.742738e+01 
  1.768902e+01  -1.748639e+01 
  1.799764e+01  -1.804873e+01 
  1.831165e+01  -1.845693e+01 
  1.863113e+01  -1.895789e+01 
  1.895619e+01  -1.898907e+01 
  1.928692e+01  -1.902017e+01 
  1.962342e+01  -1.960879e+01 
  1.996579e+01  -2.042084e+01 
  2.031413e+01  -2.060408e+01 
  2.066855e+01  -2.128474e+01 
  2.102916e+01  -2.129719e+01 
  2.139606e+01  -2.166459e+01 
  2.176935e+01  -2.199381e+01 
  2.214916e+01  -2.256632e+01 
  2.253560e+01  -2.282423e+01 
  2.292878e+01  -2.316750e+01 
  2.332882e+01  -2.350259e+01 
  2.373584e+01  -2.315550e+01 
  2.414996e+01  -2.413360e+01 
  2.457130e+01  -2.459032e+01 
  2.500000e+01  -2.464407e+01 
