Input File: f:\srs015.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 800 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         Mag[dB]     
  8.000000e-01  -1.845318e+01 
  8.139576e-01  -1.848790e+01 
  8.281588e-01  -1.847653e+01 
  8.426077e-01  -1.865064e+01 
  8.573087e-01  -1.842681e+01 
  8.722662e-01  -1.875459e+01 
  8.874847e-01  -1.871960e+01 
  9.029686e-01  -1.883729e+01 
  9.187227e-01  -1.895063e+01 
  9.347517e-01  -1.877483e+01 
  9.510604e-01  -1.872754e+01 
  9.676536e-01  -1.900497e+01 
  9.845362e-01  -1.880521e+01 
  1.001714e+00  -1.894157e+01 
  1.019190e+00  -1.908555e+01 
  1.036972e+00  -1.923462e+01 
  1.055064e+00  -1.929194e+01 
  1.073472e+00  -1.914027e+01 
  1.092201e+00  -1.852494e+01 
  1.111257e+00  -1.832595e+01 
  1.130645e+00  -1.960953e+01 
  1.150371e+00  -1.769566e+01 
  1.170442e+00  -1.961453e+01 
  1.190862e+00  -1.868855e+01 
  1.211640e+00  -1.840865e+01 
  1.232779e+00  -1.887576e+01 
  1.254287e+00  -1.890783e+01 
  1.276171e+00  -1.872685e+01 
  1.298436e+00  -1.876174e+01 
  1.321090e+00  -1.870000e+01 
  1.344139e+00  -1.908057e+01 
  1.367591e+00  -1.904402e+01 
  1.391451e+00  -1.883527e+01 
  1.415728e+00  -1.925403e+01 
  1.440428e+00  -1.908968e+01 
  1.465559e+00  -1.915121e+01 
  1.491129e+00  -1.934925e+01 
  1.517144e+00  -1.905499e+01 
  1.543614e+00  -1.940149e+01 
  1.570546e+00  -1.970571e+01 
  1.597947e+00  -1.956184e+01 
  1.625826e+00  -1.911540e+01 
  1.654192e+00  -1.972221e+01 
  1.683053e+00  -1.984333e+01 
  1.712417e+00  -1.949852e+01 
  1.742294e+00  -1.927246e+01 
  1.772692e+00  -1.998947e+01 
