Input File: f:\srs006.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 250 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  20.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         UP[deg]     
  2.500000e-01   7.168386e+00 
  2.558528e-01   7.279919e+00 
  2.618427e-01   6.306958e+00 
  2.679728e-01   7.699633e+00 
  2.742465e-01   6.777222e+00 
  2.806669e-01   8.444967e+00 
  2.872378e-01   8.435399e+00 
  2.939624e-01   7.421217e+00 
  3.008445e-01   8.351088e+00 
  3.078876e-01   8.252917e+00 
  3.150957e-01   6.357495e+00 
  3.224726e-01   4.382180e+00 
  3.300221e-01   5.424167e+00 
  3.377484e-01   6.723361e+00 
  3.456555e-01   6.024880e+00 
  3.537478e-01   4.631470e+00 
  3.620296e-01   1.604107e+00 
  3.705052e-01   3.549291e+00 
  3.791792e-01   3.258242e+00 
  3.880563e-01   4.674522e+00 
  3.971413e-01   8.691111e-01 
  4.064389e-01   3.508548e+00 
  4.159542e-01   5.491576e+00 
  4.256923e-01   3.616590e+00 
  4.356583e-01   4.117568e+00 
  4.458577e-01   3.084100e+00 
  4.562959e-01   3.817030e+00 
  4.669784e-01   2.157443e+00 
  4.779110e-01   2.093759e+00 
  4.890996e-01   1.200081e+00 
  5.005501e-01  -1.133836e+00 
  5.122687e-01   3.426217e+00 
  5.242616e-01  -6.327013e-01 
  5.365353e-01   2.238929e+00 
  5.490963e-01   8.286726e-02 
  5.619515e-01   1.189519e+00 
  5.751075e-01   2.230252e+00 
  5.885716e-01   3.343515e+00 
  6.023509e-01   8.628986e-01 
  6.164528e-01   3.543624e-01 
  6.308848e-01   3.802249e+00 
  6.456547e-01   9.363260e-01 
  6.607704e-01   5.165597e+00 
  6.762399e-01   1.827561e+00 
  6.920717e-01   1.225161e+00 
  7.082740e-01   4.419301e-01 
  7.248557e-01   5.894981e+00 
  7.418256e-01   4.220600e+00 
  7.591928e-01   7.300368e+00 
  7.769666e-01   5.144063e+00 
