Input File: f:\srs007.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 250 mHz
  7.418256e-01  -3.176779e+01 
  7.591928e-01  -3.215907e+01 
  7.769666e-01  -3.248588e+01 
  7.951564e-01  -3.316201e+01 
  8.137721e-01  -3.255969e+01 
  8.328237e-01  -3.407434e+01 
  8.523213e-01  -3.416159e+01 
  8.722753e-01  -3.433448e+01 
  8.926965e-01  -3.405201e+01 
  9.135958e-01  -3.334304e+01 
  9.349843e-01  -3.280579e+01 
  9.568736e-01  -3.307334e+01 
  9.792753e-01  -3.321427e+01 
  1.002202e+00  -3.289931e+01 
  1.025665e+00  -3.243718e+01 
  1.049677e+00  -3.355311e+01 
  1.074251e+00  -3.488789e+01 
  1.099401e+00  -3.276996e+01 
  1.125139e+00  -4.134613e+01 
  1.151481e+00  -3.061329e+01 
  1.178438e+00  -4.460851e+01 
  1.206027e+00  -3.583623e+01 
  1.234262e+00  -4.135483e+01 
  1.263158e+00  -4.306835e+01 
  1.292730e+00  -4.029269e+01 
  1.322995e+00  -4.568997e+01 
  1.353968e+00  -4.502896e+01 
  1.385666e+00  -3.688113e+01 
  1.418107e+00  -3.617879e+01 
  1.451306e+00  -3.395591e+01 
  1.485283e+00  -3.319205e+01 
  1.520056e+00  -3.081628e+01 
  1.555643e+00  -2.902960e+01 
  1.592062e+00  -2.710981e+01 
  1.629335e+00  -2.641557e+01 
  1.667480e+00  -2.568240e+01 
  1.706518e+00  -2.405859e+01 
  1.746470e+00  -2.279424e+01 
  1.787357e+00  -2.198302e+01 
  1.829202e+00  -2.060667e+01 
  1.872026e+00  -1.944146e+01 
  1.915853e+00  -1.822485e+01 
  1.960706e+00  -1.670630e+01 
  2.006608e+00  -1.507071e+01 
  2.053586e+00  -1.354558e+01 
  2.101663e+00  -1.177292e+01 
  2.150866e+00  -9.779614e+00 
  2.201221e+00  -8.420704e+00 
  2.252754e+00  -5.596253e+00 
  2.305495e+00   6.634512e-01 
  2.359470e+00   2.615670e+00 
  2.414708e+00   2.963866e+00 
  2.471240e+00  -8.029723e+00 
  2.529095e+00  -3.835389e+00 
  2.588305e+00  -3.688062e+00 
  2.648901e+00  -6.791373e+00 
  2.710915e+00  -9.889355e+00 
  2.774381e+00  -1.230920e+01 
  2.839333e+00  -1.549198e+01 
  2.905806e+00  -1.811075e+01 
  2.973835e+00  -2.183968e+01 
  3.043457e+00  -2.671478e+01 
  3.114708e+00  -3.426220e+01 
  3.187628e+00  -3.317663e+01 
  3.262255e+00  -2.662486e+01 
  3.338629e+00  -1.951212e+01 
  3.416791e+00  -1.665250e+01 
  3.496783e+00  -1.375039e+01 
  3.578647e+00  -1.293138e+01 
  3.662428e+00  -1.119933e+01 
  3.748171e+00  -9.215407e+00 
  3.835921e+00  -7.337575e+00 
  3.925725e+00  -4.897749e+00 
  4.017632e+00  -4.326912e+00 
  4.111691e+00  -1.263474e+00 
  4.207951e+00   2.633200e+00 
  4.306465e+00   8.635827e+00 
  4.407285e+00   1.136177e+01 
  4.510466e+00   1.406808e+01 
  4.616062e+00   2.235084e+01 
  4.724131e+00   2.124402e+01 
  4.834729e+00   1.800938e+01 
  4.947917e+00   1.343808e+01 
  5.063755e+00   1.155491e+01 
  5.182304e+00   9.486013e+00 
  5.303629e+00   8.089877e+00 
  5.427795e+00   6.781620e+00 
  5.554867e+00   6.154571e+00 
  5.684915e+00   5.347190e+00 
  5.818006e+00   4.989161e+00 
  5.954214e+00   4.668526e+00 
  6.093610e+00   4.312659e+00 
  6.236270e+00   4.085247e+00 
  6.382270e+00   3.783619e+00 
  6.531688e+00   3.833901e+00 
  6.684604e+00   4.122752e+00 
  6.841100e+00   4.207523e+00 
  7.001260e+00   4.743466e+00 
  7.165169e+00   4.630564e+00 
  7.332916e+00   5.416966e+00 
  7.504590e+00   6.007971e+00 
  7.680283e+00   6.651277e+00 
  7.860089e+00   7.735272e+00 
  8.044105e+00   9.289956e+00 
  8.232429e+00   9.559431e+00 
  8.425160e+00   1.166299e+01 
  8.622406e+00   1.346107e+01 
  8.824268e+00   1.381764e+01 
  9.030857e+00   1.359464e+01 
  9.242282e+00   1.213397e+01 
  9.458656e+00   9.958637e+00 
  9.680097e+00   7.066486e+00 
  9.906722e+00   5.537854e+00 
  1.013865e+01   3.769364e+00 
  1.037601e+01   2.651138e+00 
  1.061893e+01   6.572509e-01 
  1.086753e+01  -4.748077e-01 
  1.112196e+01  -1.899687e+00 
  1.138234e+01  -3.022314e+00 
  1.164881e+01  -4.137481e+00 
  1.192153e+01  -5.167198e+00 
  1.220063e+01  -5.903741e+00 
  1.248626e+01  -6.677729e+00 
  1.277858e+01  -7.519086e+00 
  1.307775e+01  -8.338915e+00 
  1.338392e+01  -9.059295e+00 
  1.369725e+01  -9.670748e+00 
  1.401793e+01  -1.047458e+01 
  1.434610e+01  -1.123245e+01 
  1.468197e+01  -1.197906e+01 
  1.502569e+01  -1.239901e+01 
  1.537746e+01  -1.298156e+01 
  1.573747e+01  -1.354315e+01 
  1.610591e+01  -1.420673e+01 
  1.648297e+01  -1.485267e+01 
  1.686886e+01  -1.534539e+01 
  1.726378e+01  -1.585483e+01 
  1.766795e+01  -1.622902e+01 
  1.808158e+01  -1.697907e+01 
  1.850490e+01  -1.743903e+01 
  1.893813e+01  -1.803545e+01 
  1.938149e+01  -1.869546e+01 
  1.983524e+01  -1.890738e+01 
  2.029961e+01  -1.977993e+01 
  2.077485e+01  -2.008207e+01 
  2.126122e+01  -2.048883e+01 
  2.175898e+01  -2.116869e+01 
  2.226839e+01  -2.146912e+01 
  2.278972e+01  -2.206883e+01 
  2.332326e+01  -2.257071e+01 
  2.386929e+01  -2.280301e+01 
  2.442810e+01  -2.382032e+01 
  2.500000e+01  -2.379383e+01 
