Input File: f:\srs007.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 250 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  20.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         Mag[dB]     
  2.500000e-01  -2.488204e+01 
  2.558528e-01  -2.484465e+01 
  2.618427e-01  -2.477098e+01 
  2.679728e-01  -2.493388e+01 
  2.742465e-01  -2.459595e+01 
  2.806669e-01  -2.456300e+01 
  2.872378e-01  -2.459586e+01 
  2.939624e-01  -2.471668e+01 
  3.008445e-01  -2.469687e+01 
  3.078876e-01  -2.483093e+01 
  3.150957e-01  -2.484059e+01 
  3.224726e-01  -2.708182e+01 
  3.300221e-01  -2.686761e+01 
  3.377484e-01  -2.762207e+01 
  3.456555e-01  -2.692127e+01 
  3.537478e-01  -2.701676e+01 
  3.620296e-01  -2.745835e+01 
  3.705052e-01  -2.739532e+01 
  3.791792e-01  -2.747154e+01 
  3.880563e-01  -2.694454e+01 
  3.971413e-01  -2.772997e+01 
  4.064389e-01  -2.763679e+01 
  4.159542e-01  -2.753340e+01 
  4.256923e-01  -2.751565e+01 
  4.356583e-01  -2.740263e+01 
  4.458577e-01  -2.805209e+01 
  4.562959e-01  -2.769913e+01 
  4.669784e-01  -2.804722e+01 
  4.779110e-01  -2.846071e+01 
  4.890996e-01  -2.808928e+01 
  5.005501e-01  -2.844879e+01 
  5.122687e-01  -2.858437e+01 
  5.242616e-01  -2.881752e+01 
  5.365353e-01  -2.805040e+01 
  5.490963e-01  -2.918877e+01 
  5.619515e-01  -2.892500e+01 
  5.751075e-01  -2.888030e+01 
  5.885716e-01  -2.888088e+01 
  6.023509e-01  -2.937186e+01 
  6.164528e-01  -2.845562e+01 
  6.308848e-01  -2.959726e+01 
  6.456547e-01  -3.006866e+01 
  6.607704e-01  -3.045002e+01 
  6.762399e-01  -3.038607e+01 
  6.920717e-01  -3.104744e+01 
  7.082740e-01  -3.196359e+01 
  7.248557e-01  -3.158848e+01 
