Input File: f:\srs003.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:    5

    X[Hz]         Mag[dB]     
  1.000000e+00  -1.545802e+01 
  1.033048e+00  -1.504030e+01 
  1.067189e+00  -1.485489e+01 
  1.102457e+00  -1.580885e+01 
  1.138892e+00  -1.522949e+01 
  1.176530e+00  -1.421778e+01 
  1.215412e+00  -1.515370e+01 
  1.255580e+00  -1.505224e+01 
  1.297074e+00  -1.507049e+01 
  1.339940e+00  -1.555625e+01 
  1.384223e+00  -1.458273e+01 
  1.429969e+00  -1.501124e+01 
  1.477227e+00  -1.476270e+01 
  1.526047e+00  -1.477435e+01 
  1.576480e+00  -1.403924e+01 
  1.628580e+00  -1.463842e+01 
  1.682402e+00  -1.399593e+01 
  1.738002e+00  -1.407082e+01 
  1.795440e+00  -1.434640e+01 
  1.854776e+00  -1.375672e+01 
  1.916073e+00  -1.287373e+01 
  1.979396e+00  -1.126152e+01 
  2.044812e+00  -1.108079e+01 
  2.112389e+00  -9.159978e+00 
  2.182200e+00  -8.073896e+00 
  2.254318e+00  -5.714268e+00 
  2.328819e+00   1.892428e+01 
  2.405782e+00   1.955985e+01 
  2.485289e+00   1.506453e+00 
  2.567424e+00  -1.017529e+00 
  2.652273e+00  -3.084780e+00 
  2.739926e+00  -5.235324e+00 
  2.830476e+00  -6.070828e+00 
  2.924018e+00  -8.073062e+00 
  3.020651e+00  -6.929585e+00 
  3.120479e+00  -6.798930e+00 
  3.223605e+00  -5.478856e+00 
  3.330139e+00  -4.955236e+00 
  3.440195e+00  -2.449255e+00 
  3.553887e+00  -1.367998e+00 
  3.671337e+00   2.291816e+00 
  3.792668e+00   3.396049e+00 
  3.918009e+00   1.168517e+01 
  4.047493e+00   2.177316e+01 
  4.181255e+00   2.226761e+01 
  4.319438e+00   2.393876e+01 
  4.462188e+00   1.023619e+01 
  4.609656e+00   6.711418e+00 
  4.761997e+00   2.749033e+00 
  4.919373e+00   3.259233e+00 
  5.081949e+00   2.084622e+00 
  5.249898e+00   1.312367e+00 
  5.423398e+00   7.511469e-01 
  5.602633e+00   8.614134e-01 
  5.787789e+00   9.650670e-01 
  5.979066e+00   1.200561e+00 
  6.176663e+00   1.368682e+00 
  6.380792e+00   1.614978e+00 
  6.591665e+00   1.821667e+00 
  6.809508e+00   2.735026e+00 
  7.034551e+00   3.714884e+00 
  7.267030e+00   4.338001e+00 
  7.507193e+00   6.550953e+00 
  7.755292e+00   7.015874e+00 
  8.011591e+00   1.073766e+01 
  8.276361e+00   1.159748e+01 
  8.549880e+00   1.033875e+01 
  8.832438e+00   8.713073e+00 
  9.124335e+00   5.759523e+00 
  9.425879e+00   2.274137e+00 
  9.737387e+00   1.289143e+00 
  1.005919e+01  -1.072735e+00 
  1.039163e+01  -2.389973e+00 
  1.073505e+01  -3.685815e+00 
  1.108983e+01  -4.825480e+00 
  1.145633e+01  -6.722514e+00 
  1.183494e+01  -8.503834e+00 
  1.222606e+01  -8.879617e+00 
  1.263011e+01  -9.440956e+00 
  1.304752e+01  -1.125797e+01 
  1.347871e+01  -1.220256e+01 
  1.392416e+01  -1.308170e+01 
  1.438433e+01  -1.309569e+01 
  1.485971e+01  -1.518277e+01 
  1.535080e+01  -1.447106e+01 
  1.585811e+01  -1.701450e+01 
  1.638220e+01  -1.828830e+01 
  1.692360e+01  -1.906064e+01 
  1.748289e+01  -1.853702e+01 
  1.806067e+01  -1.908565e+01 
  1.865755e+01  -2.091452e+01 
  1.927415e+01  -2.361326e+01 
  1.991112e+01  -2.220116e+01 
  2.056915e+01  -2.212881e+01 
  2.124893e+01  -2.529174e+01 
  2.195117e+01  -2.211790e+01 
  2.267661e+01  -2.766166e+01 
  2.342603e+01  -2.332660e+01 
  2.420023e+01  -2.312711e+01 
  2.500000e+01  -1.607106e+01 
