Input File: f:\srs017.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 25 Hz
Stop  Freq.: 800 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         Mag[dB]     
  8.000000e-01  -1.796873e+01 
  8.283035e-01  -1.761514e+01 
  8.576083e-01  -1.752392e+01 
  8.879499e-01  -1.722748e+01 
  9.193650e-01  -1.700092e+01 
  9.518915e-01  -1.695244e+01 
  9.855688e-01  -1.673323e+01 
  1.020438e+00  -1.661950e+01 
  1.056540e+00  -1.629727e+01 
  1.093920e+00  -1.682604e+01 
  1.132622e+00  -1.476971e+01 
  1.172693e+00  -1.479581e+01 
  1.214182e+00  -1.552754e+01 
  1.257139e+00  -1.505814e+01 
  1.301616e+00  -1.502339e+01 
  1.347667e+00  -1.469575e+01 
  1.395346e+00  -1.415185e+01 
  1.444712e+00  -1.366940e+01 
  1.495825e+00  -1.338759e+01 
  1.548747e+00  -1.312024e+01 
  1.603540e+00  -1.287876e+01 
  1.660273e+00  -1.225049e+01 
  1.719012e+00  -1.203274e+01 
  1.779829e+00  -1.183105e+01 
  1.842799e+00  -1.148736e+01 
  1.907996e+00  -1.088217e+01 
  1.975499e+00  -1.072298e+01 
  2.045391e+00  -1.063482e+01 
  2.117756e+00  -1.061574e+01 
  2.192681e+00  -1.047795e+01 
  2.270256e+00  -1.021977e+01 
  2.350576e+00  -1.961527e+01 
  2.433738e+00  -2.118364e-01 
  2.519842e+00   5.435039e+00 
  2.608993e+00   9.224541e-01 
  2.701297e+00  -5.981047e-01 
  2.796867e+00  -9.046266e-01 
  2.895818e+00  -5.531396e-01 
  2.998271e+00  -2.516341e-02 
  3.104347e+00   3.929241e-01 
  3.214177e+00   9.989784e-01 
  3.327893e+00   1.777194e+00 
  3.445631e+00   2.777803e+00 
  3.567535e+00   4.069386e+00 
  3.693752e+00   6.100872e+00 
  3.824435e+00   7.829274e+00 
  3.959741e+00   9.398964e+00 
  4.099834e+00   1.261527e+01 
  4.244884e+00   1.515226e+01 
  4.395064e+00   2.074816e+01 
  4.550559e+00   1.890649e+01 
  4.711555e+00   1.456224e+01 
  4.878246e+00   1.058679e+01 
  5.050836e+00   8.180883e+00 
  5.229531e+00   6.318705e+00 
  5.414548e+00   4.875356e+00 
  5.606112e+00   3.439161e+00 
  5.804452e+00   2.162761e+00 
  6.009809e+00   9.456720e-01 
  6.222433e+00  -3.756469e-01 
  6.442578e+00  -1.545883e+00 
  6.670512e+00  -2.973747e+00 
  6.906511e+00  -4.599757e+00 
  7.150858e+00  -5.887033e+00 
  7.403851e+00  -5.724955e+00 
  7.665794e+00  -2.568839e+00 
  7.937006e+00   1.669240e+00 
  8.217812e+00   5.922257e+00 
  8.508552e+00   9.288057e+00 
  8.809579e+00   1.083481e+01 
  9.121256e+00   9.768240e+00 
  9.443960e+00   8.483459e+00 
  9.778081e+00   7.396323e+00 
  1.012402e+01   6.283278e+00 
  1.048220e+01   5.601449e+00 
  1.085306e+01   4.904523e+00 
  1.123703e+01   4.477175e+00 
  1.163459e+01   3.908721e+00 
  1.204622e+01   3.552925e+00 
  1.247240e+01   3.169535e+00 
  1.291367e+01   2.948661e+00 
  1.337054e+01   2.655408e+00 
  1.384359e+01   2.450324e+00 
  1.433336e+01   2.248896e+00 
  1.484047e+01   2.046968e+00 
  1.536551e+01   1.870447e+00 
  1.590913e+01   1.717716e+00 
  1.647199e+01   1.564472e+00 
  1.705476e+01   1.463362e+00 
  1.765814e+01   1.345833e+00 
  1.828288e+01   1.253412e+00 
  1.892971e+01   1.166096e+00 
  1.959943e+01   1.095595e+00 
  2.029285e+01   9.945739e-01 
  2.101080e+01   9.429191e-01 
  2.175414e+01   8.398699e-01 
  2.252379e+01   8.047734e-01 
  2.332067e+01   7.567889e-01 
  2.414574e+01   7.237098e-01 
  2.500000e+01   6.552050e-01 
