Input File: f:\srs004.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 25 Hz
Stop  Freq.: 1 Hz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:   8.0 mV
Ref. Upper Limit:   6.0 dB
Ref. Lower Limit:  -6.0 dB
Max Source:   8.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         Mag[dB]     
  1.267352e+01  -8.592785e+00 
  1.288019e+01  -8.929166e+00 
  1.309022e+01  -1.005670e+01 
  1.330368e+01  -1.013368e+01 
  1.352062e+01  -1.051265e+01 
  1.374110e+01  -1.147438e+01 
  1.396517e+01  -1.155805e+01 
  1.419290e+01  -1.243660e+01 
  1.442434e+01  -1.245754e+01 
  1.465956e+01  -1.268463e+01 
  1.489861e+01  -1.326510e+01 
  1.514155e+01  -1.382309e+01 
  1.538846e+01  -1.453191e+01 
  1.563940e+01  -1.465969e+01 
  1.589443e+01  -1.542906e+01 
  1.615362e+01  -1.604650e+01 
  1.641703e+01  -1.641720e+01 
  1.668474e+01  -1.618478e+01 
  1.695681e+01  -1.654668e+01 
  1.723332e+01  -1.696549e+01 
  1.751434e+01  -1.788716e+01 
  1.779995e+01  -1.811446e+01 
  1.809021e+01  -1.888316e+01 
  1.838520e+01  -1.863399e+01 
  1.868500e+01  -1.894769e+01 
  1.898969e+01  -1.959485e+01 
  1.929936e+01  -1.972261e+01 
  1.961407e+01  -2.020462e+01 
  1.993391e+01  -2.093476e+01 
  2.025897e+01  -2.009416e+01 
  2.058932e+01  -2.136507e+01 
  2.092507e+01  -2.102538e+01 
  2.126629e+01  -2.207531e+01 
  2.161308e+01  -2.254748e+01 
  2.196552e+01  -2.232644e+01 
  2.232370e+01  -2.285163e+01 
  2.268773e+01  -2.304374e+01 
  2.305770e+01  -2.455956e+01 
  2.343369e+01  -2.380460e+01 
  2.381582e+01  -2.389536e+01 
  2.420418e+01  -2.415515e+01 
  2.459887e+01  -2.492044e+01 
  2.500000e+01  -2.541073e+01 
