Input File: f:\srs018.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 100
Start Freq.: 25 Hz
Stop  Freq.: 800 mHz
Sweep Type: Log
Auto Level: Channel 2
Ideal Ref.:  10.0 mV
Ref. Upper Limit:   3.0 dB
Ref. Lower Limit:  -3.0 dB
Max Source:  10.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   30

    X[Hz]         UP[deg]     
  8.000000e-01   6.821337e-01 
  8.283035e-01   1.199081e-01 
  8.576083e-01   3.672646e-02 
  8.879499e-01  -5.249661e-01 
  9.193650e-01   6.422275e-01 
  9.518915e-01  -1.948089e+00 
  9.855688e-01  -1.144227e+00 
  1.020438e+00  -3.326330e+00 
  1.056540e+00  -7.631788e-01 
  1.093920e+00  -4.335045e-01 
  1.132622e+00  -8.413504e+00 
  1.172693e+00  -3.394100e+00 
  1.214182e+00  -2.301621e+00 
  1.257139e+00   5.596401e+00 
  1.301616e+00   1.575772e+00 
  1.347667e+00   2.035763e+00 
  1.395346e+00   3.168874e+00 
  1.444712e+00   2.194855e+00 
  1.495825e+00   1.165043e+00 
  1.548747e+00   2.551702e+00 
  1.603540e+00   1.514355e-01 
  1.660273e+00   5.260986e-01 
  1.719012e+00  -1.781695e+00 
  1.779829e+00  -6.532736e-01 
  1.842799e+00   5.679277e-01 
  1.907996e+00  -4.759350e-02 
  1.975499e+00   8.047514e-02 
  2.045391e+00   1.014259e+00 
  2.117756e+00   1.021750e+00 
  2.192681e+00   3.863645e+00 
  2.270256e+00   3.194436e+00 
  2.350576e+00  -7.520788e+01 
  2.433738e+00  -2.458699e+02 
  2.519842e+00  -3.166782e+02 
  2.608993e+00  -3.639311e+02 
  2.701297e+00  -3.638204e+02 
  2.796867e+00  -3.627787e+02 
  2.895818e+00  -3.637002e+02 
  2.998271e+00  -3.707771e+02 
  3.104347e+00  -3.718260e+02 
  3.214177e+00  -3.721407e+02 
  3.327893e+00  -3.722353e+02 
  3.445631e+00  -3.697321e+02 
  3.567535e+00  -3.774965e+02 
  3.693752e+00  -3.765912e+02 
  3.824435e+00  -3.788362e+02 
  3.959741e+00  -3.842998e+02 
  4.099834e+00  -3.917390e+02 
  4.244884e+00  -4.049542e+02 
  4.395064e+00  -4.342281e+02 
  4.550559e+00  -4.923715e+02 
  4.711555e+00  -5.137869e+02 
  4.878246e+00  -5.216246e+02 
  5.050836e+00  -5.250219e+02 
  5.229531e+00  -5.267713e+02 
  5.414548e+00  -5.270065e+02 
  5.606112e+00  -5.270835e+02 
  5.804452e+00  -5.284483e+02 
  6.009809e+00  -5.268409e+02 
  6.222433e+00  -5.248728e+02 
  6.442578e+00  -5.220619e+02 
  6.670512e+00  -5.166700e+02 
  6.906511e+00  -5.061845e+02 
  7.150858e+00  -4.908724e+02 
  7.403851e+00  -4.643209e+02 
  7.665794e+00  -4.395616e+02 
  7.937006e+00  -4.309431e+02 
  8.217812e+00  -4.387410e+02 
  8.508552e+00  -4.562554e+02 
  8.809579e+00  -4.852914e+02 
  9.121256e+00  -5.037665e+02 
  9.443960e+00  -5.182103e+02 
  9.778081e+00  -5.255363e+02 
  1.012402e+01  -5.290068e+02 
  1.048220e+01  -5.313824e+02 
  1.085306e+01  -5.334423e+02 
  1.123703e+01  -5.338602e+02 
  1.163459e+01  -5.348740e+02 
  1.204622e+01  -5.361121e+02 
  1.247240e+01  -5.365823e+02 
  1.291367e+01  -5.372417e+02 
  1.337054e+01  -5.372847e+02 
  1.384359e+01  -5.374385e+02 
  1.433336e+01  -5.378123e+02 
  1.484047e+01  -5.378378e+02 
  1.536551e+01  -5.382621e+02 
  1.590913e+01  -5.381694e+02 
  1.647199e+01  -5.385906e+02 
  1.705476e+01  -5.384691e+02 
  1.765814e+01  -5.386216e+02 
  1.828288e+01  -5.387098e+02 
  1.892971e+01  -5.388012e+02 
  1.959943e+01  -5.390316e+02 
  2.029285e+01  -5.388375e+02 
  2.101080e+01  -5.391076e+02 
  2.175414e+01  -5.391754e+02 
  2.252379e+01  -5.391376e+02 
  2.332067e+01  -5.391452e+02 
  2.414574e+01  -5.395138e+02 
  2.500000e+01  -5.392542e+02 
