Frequency(Hz),Real,Imaginary
1.000000e+00,1.392676e-01,-2.491025e-03
1.016307e+00,1.450568e-01,1.351468e-03
1.032879e+00,1.343337e-01,2.300560e-03
1.049722e+00,1.364498e-01,-1.921231e-03
1.066840e+00,1.414643e-01,7.597738e-04
1.084237e+00,1.404829e-01,4.793572e-03
1.101917e+00,1.345288e-01,-3.240288e-04
1.119886e+00,1.452697e-01,3.849698e-03
1.138148e+00,1.162962e-01,5.249750e-03
1.156707e+00,1.523562e-01,-2.810578e-03
1.175569e+00,1.205745e-01,-5.397451e-03
1.194739e+00,1.355449e-01,-4.666623e-03
1.214221e+00,1.378032e-01,-7.075395e-03
1.234021e+00,1.493213e-01,4.145760e-03
1.254144e+00,1.357419e-01,-1.458955e-03
1.274595e+00,1.382087e-01,-4.776170e-03
1.295380e+00,1.299077e-01,-7.603732e-03
1.316504e+00,1.315550e-01,-5.441926e-03
1.337971e+00,1.324020e-01,-7.929506e-03
1.359789e+00,1.392574e-01,-3.283249e-03
1.381963e+00,1.391831e-01,1.138471e-03
1.404499e+00,1.418345e-01,3.780238e-03
1.427401e+00,1.337177e-01,-7.442649e-03
1.450678e+00,1.392781e-01,-1.583333e-03
1.474334e+00,1.333342e-01,-1.153021e-02
1.498375e+00,1.370530e-01,-9.041959e-03
1.522809e+00,1.413050e-01,-7.533902e-03
1.547641e+00,1.386466e-01,-8.112355e-03
1.572878e+00,1.395052e-01,5.632276e-04
1.598527e+00,1.385210e-01,4.788128e-03
1.624593e+00,1.409458e-01,-1.688132e-02
1.651085e+00,1.372370e-01,-1.435801e-02
1.678009e+00,1.469136e-01,-1.210646e-02
1.705372e+00,1.462103e-01,-5.801176e-03
1.733181e+00,1.534634e-01,-2.748375e-03
1.761444e+00,1.532488e-01,-7.256476e-03
1.790167e+00,1.593542e-01,3.832985e-03
1.819359e+00,1.561648e-01,-7.924002e-03
1.849027e+00,1.676890e-01,-1.205869e-02
1.879179e+00,1.687379e-01,-1.603368e-02
1.909822e+00,1.741743e-01,-6.602668e-03
1.940965e+00,1.747234e-01,-6.115384e-03
1.972616e+00,1.865996e-01,-1.803841e-02
2.004783e+00,2.040357e-01,-1.511126e-02
2.037475e+00,2.143181e-01,-5.269833e-03
2.070699e+00,2.466432e-01,-6.019711e-03
2.104466e+00,2.565038e-01,-1.572164e-02
2.138783e+00,2.856937e-01,-1.540989e-02
2.173660e+00,3.166178e-01,-1.319732e-02
2.209105e+00,3.585299e-01,-2.544526e-02
2.245129e+00,4.343588e-01,-4.477452e-02
2.281739e+00,5.624476e-01,-5.425657e-02
2.318947e+00,7.797671e-01,-9.369082e-02
2.356762e+00,1.171389e+00,-6.755158e-02
2.395193e+00,2.170332e+00,-3.833536e-01
2.434251e+00,1.238108e+01,-7.933774e+00
2.473946e+00,-4.261510e+00,3.823844e-02
