Frequency(Hz),Real,Imaginary
8.000000e-01,1.263376e-01,1.504181e-03
8.283035e-01,1.315958e-01,2.754029e-04
8.576083e-01,1.329854e-01,8.524333e-05
8.879499e-01,1.375966e-01,-1.260749e-03
9.193650e-01,1.412299e-01,1.583110e-03
9.518915e-01,1.419472e-01,-4.828147e-03
9.855688e-01,1.456303e-01,-2.908702e-03
1.020438e+00,1.473305e-01,-8.562956e-03
1.056540e+00,1.531433e-01,-2.039987e-03
1.093920e+00,1.441072e-01,-1.090347e-03
1.132622e+00,1.806405e-01,-2.671818e-02
1.172693e+00,1.817385e-01,-1.077848e-02
1.214182e+00,1.672139e-01,-6.720744e-03
1.257139e+00,1.757996e-01,1.722616e-02
1.301616e+00,1.772826e-01,4.876930e-03
1.347667e+00,1.840511e-01,6.542228e-03
1.395346e+00,1.957686e-01,1.083848e-02
1.444712e+00,2.071149e-01,7.937925e-03
1.495825e+00,2.140576e-01,4.353213e-03
1.548747e+00,2.205754e-01,9.829960e-03
1.603540e+00,2.270181e-01,6.000211e-04
1.660273e+00,2.440379e-01,2.240856e-03
1.719012e+00,2.501226e-01,-7.780432e-03
1.779829e+00,2.561057e-01,-2.920186e-03
1.842799e+00,2.664469e-01,2.641164e-03
1.907996e+00,2.856876e-01,-2.373102e-04
1.975499e+00,2.909716e-01,4.086862e-04
2.045391e+00,2.938942e-01,5.203105e-03
2.117756e+00,2.945398e-01,5.253056e-03
2.192681e+00,2.986169e-01,2.016731e-02
2.270256e+00,3.078479e-01,1.718138e-02
2.350576e+00,2.668757e-02,-1.010647e-01
2.433738e+00,-3.989603e-01,8.906313e-01
2.519842e+00,1.360166e+00,1.282733e+00
2.608993e+00,1.109429e+00,-7.623833e-02
2.701297e+00,9.313836e-01,-6.219552e-02
2.796867e+00,9.000316e-01,-4.368350e-02
2.895818e+00,9.363468e-01,-6.055412e-02
2.998271e+00,9.795202e-01,-1.864478e-01
3.104347e+00,1.024068e+00,-2.144240e-01
3.214177e+00,1.096794e+00,-2.359474e-01
3.327893e+00,1.199171e+00,-2.600434e-01
3.445631e+00,1.357047e+00,-2.327468e-01
3.567535e+00,1.523692e+00,-4.803159e-01
3.693752e+00,1.934529e+00,-5.763846e-01
3.824435e+00,2.331091e+00,-7.952121e-01
3.959741e+00,2.689425e+00,-1.214311e+00
4.099834e+00,3.634243e+00,-2.247973e+00
4.244884e+00,4.049905e+00,-4.043436e+00
4.395064e+00,2.962584e+00,-1.048918e+01
4.550559e+00,-5.942135e+00,-6.513972e+00
4.711555e+00,-4.797121e+00,-2.361839e+00
4.878246e+00,-3.210783e+00,-1.066554e+00
5.050836e+00,-2.477607e+00,-6.628578e-01
5.229531e+00,-2.014908e+00,-4.736575e-01
5.414548e+00,-1.708060e+00,-3.941326e-01
5.606112e+00,-1.448197e+00,-3.321203e-01
5.804452e+00,-1.256756e+00,-2.568710e-01
6.009809e+00,-1.085744e+00,-2.538414e-01
6.222433e+00,-9.244894e-01,-2.499173e-01
6.442578e+00,-7.962773e-01,-2.577754e-01
6.670512e+00,-6.520313e-01,-2.812139e-01
6.906511e+00,-4.892450e-01,-3.277127e-01
7.150858e+00,-3.322585e-01,-3.839433e-01
7.403851e+00,-1.279583e-01,-5.012365e-01
7.665794e+00,1.347920e-01,-7.316619e-01
7.937006e+00,3.956895e-01,-1.145469e+00
8.217812e+00,3.860925e-01,-1.939426e+00
8.508552e+00,-3.174477e-01,-2.896072e+00
8.809579e+00,-2.011265e+00,-2.841515e+00
9.121256e+00,-2.483580e+00,-1.819937e+00
9.443960e+00,-2.465923e+00,-9.857845e-01
9.778081e+00,-2.268970e+00,-5.852622e-01
1.012402e+01,-2.023581e+00,-3.930950e-01
1.048220e+01,-1.884263e+00,-2.855601e-01
1.085306e+01,-1.747332e+00,-2.008660e-01
1.123703e+01,-1.664794e+00,-1.790848e-01
1.163459e+01,-1.562053e+00,-1.401240e-01
1.204622e+01,-1.501916e+00,-1.020717e-01
1.247240e+01,-1.437817e+00,-8.586783e-02
1.291367e+01,-1.402586e+00,-6.757470e-02
1.337054e+01,-1.356071e+00,-6.431363e-02
1.384359e+01,-1.324592e+00,-5.925749e-02
1.433336e+01,-1.294578e+00,-4.945434e-02
1.484047e+01,-1.264850e+00,-4.775497e-02
1.536551e+01,-1.239717e+00,-3.761473e-02
1.590913e+01,-1.218047e+00,-3.892985e-02
1.647199e+01,-1.196995e+00,-2.945042e-02
1.705476e+01,-1.183077e+00,-3.161845e-02
1.765814e+01,-1.167256e+00,-2.808681e-02
1.828288e+01,-1.154943e+00,-2.601167e-02
1.892971e+01,-1.143430e+00,-2.392749e-02
1.959943e+01,-1.134273e+00,-1.917305e-02
2.029285e+01,-1.121087e+00,-2.274936e-02
2.101080e+01,-1.114534e+00,-1.736062e-02
2.175414e+01,-1.101409e+00,-1.585255e-02
2.252379e+01,-1.096957e+00,-1.651233e-02
2.332067e+01,-1.090915e+00,-1.627666e-02
2.414574e+01,-1.086851e+00,-9.223008e-03
2.500000e+01,-1.078260e+00,-1.403614e-02
