Frequency(Hz),Real,Imaginary
3.882384e+00,2.608390e+00,-5.461061e-01
3.924405e+00,2.871650e+00,-6.355443e-01
3.966882e+00,3.316969e+00,-9.451351e-01
4.009818e+00,3.644155e+00,-1.072173e+00
4.053218e+00,4.197429e+00,-1.456972e+00
4.097089e+00,4.980106e+00,-2.018467e+00
4.141434e+00,5.880577e+00,-2.912044e+00
4.186260e+00,6.425956e+00,-4.853734e+00
4.231570e+00,6.191235e+00,-8.351648e+00
4.277371e+00,2.972321e+00,-1.166348e+01
4.323668e+00,-2.535017e+00,-9.823328e+00
4.370465e+00,-3.065611e+00,-7.690487e+00
4.417770e+00,-3.006643e+00,-6.865010e+00
4.465586e+00,-3.646795e+00,-6.346327e+00
4.513920e+00,-5.119116e+00,-5.918410e+00
4.562777e+00,-5.460246e+00,-4.045681e+00
4.612163e+00,-5.242331e+00,-2.796663e+00
4.662083e+00,-4.713246e+00,-1.842756e+00
4.712543e+00,-4.085309e+00,-1.482636e+00
4.763550e+00,-3.716555e+00,-1.260768e+00
4.815109e+00,-3.353714e+00,-9.370301e-01
4.867226e+00,-3.053692e+00,-7.524100e-01
4.919908e+00,-2.840657e+00,-6.500651e-01
4.973159e+00,-2.613091e+00,-5.614482e-01
5.026986e+00,-2.376699e+00,-5.024825e-01
5.081397e+00,-2.253465e+00,-4.434112e-01
5.136395e+00,-2.101805e+00,-3.507298e-01
5.191990e+00,-1.993355e+00,-3.516473e-01
5.248186e+00,-1.881803e+00,-3.045800e-01
5.304991e+00,-1.771683e+00,-2.744103e-01
5.362410e+00,-1.662546e+00,-2.662401e-01
5.420451e+00,-1.599833e+00,-2.173638e-01
5.479119e+00,-1.518826e+00,-2.242564e-01
5.538424e+00,-1.437810e+00,-2.013034e-01
5.598369e+00,-1.381411e+00,-2.041073e-01
5.658964e+00,-1.303089e+00,-1.847284e-01
5.720214e+00,-1.245203e+00,-1.920645e-01
5.782128e+00,-1.191837e+00,-1.671306e-01
5.844711e+00,-1.130219e+00,-1.717548e-01
5.907972e+00,-1.081864e+00,-1.694077e-01
5.971918e+00,-1.029676e+00,-1.635747e-01
6.036556e+00,-9.766242e-01,-1.535920e-01
6.101893e+00,-9.345684e-01,-1.640026e-01
6.167938e+00,-8.765991e-01,-1.560593e-01
6.234697e+00,-8.302478e-01,-1.669776e-01
6.302180e+00,-7.908765e-01,-1.668685e-01
6.370392e+00,-7.446065e-01,-1.533063e-01
6.439343e+00,-7.015107e-01,-1.624750e-01
6.509040e+00,-6.586583e-01,-1.806767e-01
6.579491e+00,-6.114420e-01,-1.850595e-01
6.650705e+00,-5.618868e-01,-1.895708e-01
6.722690e+00,-5.155421e-01,-2.043747e-01
6.795454e+00,-4.532992e-01,-2.128196e-01
6.869005e+00,-4.022842e-01,-2.257735e-01
6.943353e+00,-3.359711e-01,-2.368619e-01
7.018505e+00,-2.874260e-01,-2.626704e-01
7.094471e+00,-2.227662e-01,-2.882185e-01
7.171259e+00,-1.508095e-01,-3.148752e-01
7.248878e+00,-1.038895e-01,-3.547984e-01
7.327337e+00,-2.643671e-02,-3.924345e-01
7.406645e+00,5.596380e-02,-4.398470e-01
7.486812e+00,1.367560e-01,-4.991319e-01
7.567846e+00,2.435854e-01,-5.869232e-01
7.649758e+00,3.462482e-01,-6.777634e-01
7.732556e+00,4.492599e-01,-8.084626e-01
7.816250e+00,5.445400e-01,-9.308668e-01
7.900851e+00,6.592349e-01,-1.193124e+00
7.986366e+00,7.048270e-01,-1.465565e+00
8.072808e+00,7.890497e-01,-1.805659e+00
8.160185e+00,8.521496e-01,-2.171572e+00
8.248507e+00,7.553539e-01,-2.592093e+00
8.337787e+00,4.530358e-01,-3.012292e+00
8.428032e+00,-2.068529e-01,-3.349368e+00
8.519254e+00,-8.068497e-01,-3.540492e+00
8.611463e+00,-1.384583e+00,-3.568745e+00
8.704670e+00,-1.992170e+00,-3.350693e+00
8.798886e+00,-2.393675e+00,-2.927083e+00
8.894122e+00,-2.605701e+00,-2.512388e+00
8.990389e+00,-2.737094e+00,-2.070634e+00
9.087697e+00,-2.703527e+00,-1.835288e+00
9.186059e+00,-2.640754e+00,-1.485900e+00
9.285485e+00,-2.579328e+00,-1.181628e+00
9.385988e+00,-2.543385e+00,-1.022120e+00
9.487578e+00,-2.447009e+00,-8.889265e-01
9.590269e+00,-2.376023e+00,-7.408586e-01
9.694070e+00,-2.315803e+00,-7.044601e-01
9.798995e+00,-2.288844e+00,-6.175691e-01
9.905056e+00,-2.155610e+00,-5.280247e-01
1.001226e+01,-2.070808e+00,-4.790126e-01
1.012063e+01,-2.042992e+00,-3.832399e-01
1.023018e+01,-2.000093e+00,-3.893186e-01
1.034090e+01,-1.935964e+00,-3.496677e-01
1.045283e+01,-1.886293e+00,-3.301167e-01
1.056597e+01,-1.843511e+00,-3.033371e-01
1.068033e+01,-1.830225e+00,-2.651742e-01
1.079593e+01,-1.765176e+00,-2.664913e-01
1.091278e+01,-1.738652e+00,-2.315441e-01
1.103090e+01,-1.702175e+00,-2.249026e-01
1.115029e+01,-1.668191e+00,-2.082661e-01
1.127098e+01,-1.633704e+00,-1.959730e-01
1.139297e+01,-1.603523e+00,-1.707388e-01
1.151628e+01,-1.599930e+00,-1.672419e-01
1.164093e+01,-1.579702e+00,-1.624857e-01
1.176693e+01,-1.560910e+00,-1.514645e-01
1.189429e+01,-1.533165e+00,-1.502363e-01
1.202303e+01,-1.509746e+00,-1.365714e-01
1.215316e+01,-1.486644e+00,-1.343665e-01
1.228470e+01,-1.470836e+00,-1.303992e-01
1.241767e+01,-1.459260e+00,-1.172965e-01
1.255207e+01,-1.440787e+00,-1.211534e-01
1.268793e+01,-1.425113e+00,-1.076526e-01
1.282526e+01,-1.409578e+00,-1.045419e-01
1.296408e+01,-1.395858e+00,-1.032990e-01
1.310439e+01,-1.390723e+00,-9.374196e-02
