Frequency(Hz),Real,Imaginary
1.000000e+00,1.083691e-01,4.123140e-03
1.016307e+00,1.086598e-01,1.783958e-02
1.032879e+00,1.213951e-01,2.798155e-03
1.049722e+00,1.161760e-01,-9.545399e-04
1.066840e+00,9.940321e-02,6.408234e-03
1.084237e+00,1.146070e-01,9.793698e-03
1.101917e+00,1.058197e-01,1.513886e-02
1.119886e+00,1.028240e-01,-1.698039e-03
1.138148e+00,1.544403e-01,3.577962e-02
1.156707e+00,1.845852e-01,6.442256e-04
1.175569e+00,8.326230e-02,6.646009e-03
1.194739e+00,1.145905e-01,-6.831439e-03
1.214221e+00,1.237856e-01,1.580672e-02
1.234021e+00,1.026934e-01,1.167282e-02
1.254144e+00,1.116223e-01,8.661552e-04
1.274595e+00,1.089644e-01,1.948342e-03
1.295380e+00,1.098515e-01,-8.514116e-04
1.316504e+00,1.125954e-01,-5.870342e-04
1.337971e+00,9.680200e-02,-2.160870e-03
1.359789e+00,1.024389e-01,-6.412237e-03
1.381963e+00,1.163317e-01,7.829810e-03
1.404499e+00,1.130446e-01,1.139851e-03
1.427401e+00,1.009178e-01,-4.299253e-03
1.450678e+00,1.073953e-01,1.170363e-03
1.474334e+00,9.755797e-02,-1.139654e-02
1.498375e+00,9.835306e-02,-2.887708e-03
1.522809e+00,9.696528e-02,-8.365419e-03
1.547641e+00,9.780741e-02,-4.322371e-04
1.572878e+00,1.049843e-01,5.912999e-03
1.598527e+00,1.112400e-01,1.677990e-02
1.624593e+00,9.093151e-02,-1.898186e-03
1.651085e+00,9.025154e-02,-3.605917e-03
1.678009e+00,9.534257e-02,2.589821e-03
1.705372e+00,1.105660e-01,-1.273559e-03
1.733181e+00,1.012199e-01,-6.741700e-03
1.761444e+00,1.148699e-01,-2.692903e-03
1.790167e+00,1.147349e-01,-5.233679e-03
1.819359e+00,1.098108e-01,-1.576709e-02
1.849027e+00,1.148976e-01,2.576527e-03
1.879179e+00,1.190903e-01,7.079712e-04
1.909822e+00,1.238992e-01,-7.266412e-03
1.940965e+00,1.320387e-01,1.492606e-02
1.972616e+00,1.176852e-01,-5.494309e-04
2.004783e+00,1.142855e-01,1.312602e-02
2.037475e+00,1.195798e-01,-3.754285e-04
2.070699e+00,1.546534e-01,-6.590269e-03
2.104466e+00,1.551998e-01,2.146637e-02
2.138783e+00,1.566173e-01,-1.589844e-02
2.173660e+00,2.119381e-01,-2.714967e-02
2.209105e+00,2.121161e-01,1.965200e-02
2.245129e+00,2.833565e-01,-1.348516e-02
2.281739e+00,4.470131e-01,6.613855e-03
2.318947e+00,6.653489e-01,-2.441142e-01
2.356762e+00,4.494553e+00,-1.090755e+00
2.395193e+00,2.268102e-02,-8.511419e+00
2.434251e+00,-1.524274e+00,-9.523054e-01
2.473946e+00,-1.278672e+00,-8.107888e-03
2.514288e+00,-2.211116e+00,6.575238e-01
