Frequency(Hz),Real,Imaginary
1.000000e+00,1.679257e-01,-3.220395e-03
1.016307e+00,1.678844e-01,-1.225573e-02
1.032879e+00,1.674172e-01,8.408708e-04
1.049722e+00,1.667104e-01,3.581362e-03
1.066840e+00,1.676309e-01,-9.606766e-03
1.084237e+00,1.681994e-01,-1.103423e-02
1.101917e+00,1.678940e-01,-4.476583e-03
1.119886e+00,1.763498e-01,6.186006e-03
1.138148e+00,1.624795e-01,-9.272406e-03
1.156707e+00,1.658057e-01,-1.656801e-02
1.175569e+00,1.683449e-01,-7.915525e-03
1.194739e+00,1.654150e-01,-7.712691e-03
1.214221e+00,1.692236e-01,-3.549738e-03
1.234021e+00,1.759594e-01,2.121905e-03
1.254144e+00,1.737777e-01,1.238129e-03
1.274595e+00,1.712136e-01,-4.046793e-03
1.295380e+00,1.679157e-01,-7.353726e-03
1.316504e+00,1.677842e-01,-8.777586e-03
1.337971e+00,1.668634e-01,-1.067567e-02
1.359789e+00,1.734864e-01,-5.630764e-03
1.381963e+00,1.773790e-01,4.988466e-03
1.404499e+00,1.759601e-01,6.065925e-03
1.427401e+00,1.728379e-01,-8.011393e-03
1.450678e+00,1.748938e-01,-2.076888e-03
1.474334e+00,1.739859e-01,-9.377600e-03
1.498375e+00,1.765831e-01,-1.225170e-02
1.522809e+00,1.750892e-01,-5.351418e-03
1.547641e+00,1.781296e-01,-9.163261e-03
1.572878e+00,1.819235e-01,-9.374401e-04
1.598527e+00,1.832630e-01,1.750617e-04
1.624593e+00,1.830520e-01,-1.667732e-02
1.651085e+00,1.883401e-01,-1.868267e-02
1.678009e+00,1.847497e-01,-1.023045e-02
1.705372e+00,1.859970e-01,-4.717537e-03
1.733181e+00,1.915125e-01,-1.312743e-02
1.761444e+00,2.030793e-01,-1.259328e-02
1.790167e+00,1.954789e-01,2.517921e-03
1.819359e+00,2.141085e-01,-1.769536e-02
1.849027e+00,2.133536e-01,-1.354548e-02
1.879179e+00,2.186004e-01,-1.228321e-02
1.909822e+00,2.267956e-01,-1.054497e-02
1.940965e+00,2.266592e-01,-1.086845e-02
1.972616e+00,2.402798e-01,-1.480914e-02
2.004783e+00,2.536204e-01,-1.900870e-02
2.037475e+00,2.497711e-01,-1.518136e-02
2.070699e+00,2.903114e-01,-1.920129e-02
2.104466e+00,3.167323e-01,-1.358421e-02
2.138783e+00,3.213752e-01,-2.083099e-02
2.173660e+00,3.581404e-01,-1.147665e-02
2.209105e+00,4.336735e-01,-4.047501e-02
2.245129e+00,4.843499e-01,-3.975172e-02
2.281739e+00,6.411503e-01,-2.875780e-02
2.318947e+00,8.004607e-01,-2.183560e-02
2.356762e+00,1.301331e+00,-3.625557e-01
2.395193e+00,4.172560e+00,-3.325940e+00
2.434251e+00,-4.935164e+00,-4.942491e+00
2.473946e+00,-1.436763e+00,-2.493318e-01
2.514288e+00,-7.266127e-01,-2.501455e-02
2.555288e+00,-4.979167e-01,-1.163746e+00
2.596956e+00,-1.119776e+00,-3.937731e-01
2.639304e+00,-7.785030e-01,-2.488164e-02
2.682343e+00,-6.009451e-01,3.336417e-03
2.726083e+00,-5.315705e-01,1.781420e-02
2.770537e+00,-4.652762e-01,3.328040e-02
2.815715e+00,-4.560682e-01,2.254722e-02
2.861631e+00,-4.152367e-01,1.946295e-02
2.908295e+00,-4.085645e-01,3.189572e-02
2.955719e+00,-4.264058e-01,2.561923e-02
3.003918e+00,-4.051182e-01,2.901792e-02
3.052902e+00,-4.246554e-01,1.795871e-02
3.102685e+00,-4.430653e-01,2.796847e-02
3.153280e+00,-4.643479e-01,3.627426e-02
3.204700e+00,-4.801474e-01,5.176900e-02
3.256958e+00,-5.304667e-01,4.559362e-02
3.310069e+00,-5.576227e-01,6.481899e-02
3.364045e+00,-6.029739e-01,6.177952e-02
3.418902e+00,-6.638712e-01,7.079971e-02
3.474653e+00,-7.271701e-01,8.343301e-02
3.531314e+00,-8.130831e-01,1.078920e-01
3.588898e+00,-9.080727e-01,1.236591e-01
3.647421e+00,-1.024880e+00,1.420917e-01
3.706899e+00,-1.211418e+00,1.951287e-01
3.767347e+00,-1.409666e+00,2.477758e-01
3.828780e+00,-1.626410e+00,3.407674e-01
3.891215e+00,-2.018167e+00,5.156475e-01
3.954668e+00,-2.555958e+00,8.354800e-01
4.019156e+00,-3.353622e+00,1.312623e+00
