Frequency(Hz),Real,Imaginary
1.000000,0.021087,0.008007
1.016307,0.019728,0.012035
1.032879,0.018230,0.014048
1.049722,0.017113,0.012173
1.066840,0.015655,0.010614
1.084237,0.016023,0.011893
1.101917,0.016638,0.013608
1.119886,0.010196,0.004673
1.138148,0.011255,0.013775
1.156707,0.012318,0.021582
1.175569,0.005268,0.006428
1.194739,0.008183,0.008704
1.214221,0.009141,0.010499
1.234021,0.004784,0.007169
1.254144,0.003911,0.006398
1.274595,0.002086,0.007459
1.295380,-0.000433,0.009210
1.316504,-0.002144,0.005573
1.337971,-0.002705,0.004664
1.359789,-0.004483,0.005360
1.381963,-0.011117,0.007158
1.404499,-0.013292,0.006949
1.427401,-0.015341,0.006816
1.450678,-0.018544,0.007405
1.474334,-0.020675,0.004633
1.498375,-0.024307,0.002837
1.522809,-0.029192,0.002335
1.547641,-0.033516,0.004827
1.572878,-0.039061,0.005855
1.598527,-0.044222,0.006719
1.624593,-0.046399,0.009188
1.651085,-0.049215,0.009770
1.678009,-0.054073,0.009079
1.705372,-0.061956,0.007024
1.733181,-0.068914,0.006515
1.761444,-0.074737,0.007223
1.790167,-0.080018,0.008851
1.819359,-0.089562,0.009255
1.849027,-0.098948,0.009992
1.879179,-0.108757,0.010385
1.909822,-0.120120,0.009090
1.940965,-0.135233,0.012203
1.972616,-0.153113,0.016177
2.004783,-0.174064,0.019758
2.037475,-0.197573,0.020440
2.070699,-0.226087,0.022320
2.104466,-0.260320,0.026103
2.138783,-0.305860,0.036287
2.173660,-0.345771,0.048605
2.209105,-0.395742,0.067515
2.245129,-0.492156,0.105673
2.281739,-0.768172,0.302613
2.318947,-0.920932,0.623579
2.356762,-0.761445,1.090711
2.395193,0.085744,1.236541
2.434251,0.474837,0.915656
2.473946,0.334290,0.213020
2.514288,0.142906,0.524563
2.555288,0.252901,0.552748
2.596956,0.470247,0.409409
2.639304,0.422016,0.239407
2.682343,0.352634,0.148999
2.726083,0.286404,0.094302
2.770537,0.238660,0.063906
2.815715,0.189759,0.045068
2.861631,0.149332,0.034760
2.908295,0.118359,0.032380
2.955719,0.088552,0.026559
3.003918,0.061639,0.022788
3.052902,0.037413,0.019971
3.102685,0.017292,0.015838
3.153280,-0.005622,0.008691
3.204700,-0.027400,0.002137
3.256958,-0.044847,-0.001164
3.310069,-0.083654,-0.000328
3.364045,-0.119129,0.002618
3.418902,-0.148368,0.007494
3.474653,-0.188743,0.013112
3.531314,-0.213538,0.006187
3.588898,-0.231650,-0.006463
3.647421,-0.266432,-0.007032
3.706899,-0.311712,-0.014578
3.767347,-0.363770,-0.020805
3.828780,-0.422438,-0.018756
3.891215,-0.515161,-0.016972
3.954668,-0.579966,-0.031001
4.019156,-0.608353,-0.064805
4.084696,-0.782129,-0.115912
4.151304,-1.013521,-0.302574
4.218998,-1.401925,-0.527511
4.287796,-2.397523,-0.453464
4.357717,-3.174530,0.042479
4.428777,-3.848077,0.857117
4.500996,-4.464210,2.048071
4.574393,-5.522020,7.874919
4.648987,-3.101750,11.357460
4.724797,3.895004,10.825461
4.801843,6.159648,5.711176
4.880146,6.090604,2.589255
4.959725,4.459538,1.144497
5.040602,3.872987,0.845543
5.122798,3.328189,0.599175
5.206335,2.864527,0.401089
5.291233,2.568391,0.273769
5.377516,2.315721,0.227099
5.465206,2.131096,0.164724
5.554326,2.030779,0.061652
5.644899,1.904523,0.080125
5.736949,1.820179,0.066227
5.830501,1.769899,0.027058
5.925577,1.725114,-0.005626
6.022204,1.677708,-0.034391
6.120407,1.634244,-0.048662
6.220211,1.605038,-0.027809
6.321643,1.568421,-0.022458
6.424728,1.547730,-0.038392
6.529495,1.552602,-0.081207
6.635970,1.585627,-0.124361
6.744182,1.607967,-0.131948
6.854157,1.627467,-0.116094
6.965927,1.697116,-0.149161
7.079518,1.707785,-0.166289
7.194963,1.722383,-0.189001
7.312289,1.828772,-0.249669
7.431530,1.917028,-0.304032
7.552714,1.999439,-0.392616
7.675874,2.078473,-0.536469
7.801043,2.242000,-0.676572
7.928253,2.457531,-0.882303
8.057537,2.690227,-1.135726
8.188930,2.689482,-1.291356
8.322465,2.815140,-1.851361
8.458178,2.920293,-2.667013
8.596103,2.759666,-3.651499
8.736278,1.685506,-4.397211
8.878738,0.437731,-4.798946
9.023522,-0.735615,-4.720771
9.170667,-1.535302,-3.952457
9.320210,-1.975242,-3.128098
9.472194,-2.064585,-2.299730
9.626655,-1.852250,-1.621980
