Frequency(Hz),Real,Imaginary
1.000000,0.146334,-0.005249
1.016307,0.147129,-0.007893
1.032879,0.149334,-0.006315
1.049722,0.152046,-0.003272
1.066840,0.150653,-0.001778
1.084237,0.146448,-0.001336
1.101917,0.151656,-0.006386
1.119886,0.168618,-0.018285
1.138148,0.180792,-0.024520
1.156707,0.181300,-0.017137
1.175569,0.180732,-0.010497
1.194739,0.174021,-0.008622
1.214221,0.167222,-0.006699
1.234021,0.171179,0.004339
1.254144,0.175201,0.015557
1.274595,0.176382,0.012379
1.295380,0.177075,0.006608
1.316504,0.179471,0.005415
1.337971,0.182626,0.006192
1.359789,0.187030,0.007635
1.381963,0.192480,0.009633
1.404499,0.197872,0.010301
1.427401,0.203136,0.008955
1.450678,0.207925,0.007520
1.474334,0.211138,0.005860
1.498375,0.214372,0.004617
1.522809,0.217381,0.007146
1.547641,0.220439,0.009716
1.572878,0.223413,0.005765
1.598527,0.226429,0.001444
1.624593,0.233334,0.001209
1.651085,0.241282,0.001975
1.678009,0.245875,-0.000785
1.705372,0.248710,-0.005453
1.733181,0.251517,-0.006648
1.761444,0.254297,-0.004389
1.790167,0.257803,-0.002007
1.819359,0.262597,0.000571
1.849027,0.268285,0.002366
1.879179,0.277183,0.001035
1.909822,0.285831,-0.000220
1.940965,0.288268,0.000078
1.972616,0.290746,0.000381
2.004783,0.292196,0.002417
2.037475,0.293563,0.004660
2.070699,0.294120,0.005221
2.104466,0.294421,0.005244
2.138783,0.295684,0.009439
2.173660,0.297582,0.016381
2.209105,0.300571,0.019535
2.245129,0.304858,0.018149
2.281739,0.267652,0.000276
2.318947,0.137405,-0.054501
2.356762,-0.004974,-0.027297
2.395193,-0.201676,0.430987
2.434251,-0.388480,0.892967
2.473946,0.422499,1.073731
2.514288,1.246696,1.257441
2.555288,1.260474,0.742413
2.596956,1.143283,0.107247
2.639304,1.050962,-0.071627
2.682343,0.967944,-0.065079
2.726083,0.923252,-0.057394
2.770537,0.908669,-0.048784
2.815715,0.906949,-0.046897
2.861631,0.923800,-0.054725
2.908295,0.941605,-0.075886
2.955719,0.961589,-0.134160
3.003918,0.981892,-0.187937
3.052902,1.002463,-0.200856
3.102685,1.023370,-0.213986
3.153280,1.056470,-0.224013
3.204700,1.090519,-0.234090
3.256958,1.135309,-0.245013
3.310069,1.183124,-0.256267
3.364045,1.247648,-0.251662
3.418902,1.321206,-0.238944
3.474653,1.396721,-0.291686
3.531314,1.474177,-0.406756
3.588898,1.593229,-0.496576
3.647421,1.783721,-0.541120
3.706899,1.974424,-0.598399
3.767347,2.157856,-0.699619
3.828780,2.342598,-0.808670
3.891215,2.507946,-1.002058
3.954668,2.675990,-1.198598
4.019156,3.090133,-1.652699
4.084696,3.532149,-2.136279
4.151304,3.781738,-2.885081
4.218998,3.975725,-3.723013
4.287796,3.739217,-5.885224
4.357717,3.232981,-8.886242
4.428777,1.031944,-9.627312
4.500996,-3.103815,-7.781043
4.574393,-5.772626,-5.899286
4.648987,-5.242109,-3.975486
4.724797,-4.671102,-2.258941
4.801843,-3.937883,-1.660249
4.880146,-3.202712,-1.062110
4.959725,-2.864654,-0.875971
5.040602,-2.521082,-0.686796
5.122798,-2.291274,-0.586665
5.206335,-2.074970,-0.498217
5.291233,-1.912576,-0.447136
5.377516,-1.769477,-0.410050
5.465206,-1.639341,-0.377734
5.554326,-1.518446,-0.348884
5.644899,-1.410759,-0.317405
5.736949,-1.321911,-0.282481
5.830501,-1.235064,-0.256487
5.925577,-1.155889,-0.255084
6.022204,-1.076344,-0.253613
6.120407,-1.001866,-0.251800
6.220211,-0.926175,-0.249958
6.321643,-0.866710,-0.253459
6.424728,-0.806673,-0.257138
6.529495,-0.741273,-0.266713
6.635970,-0.673891,-0.277662
6.744182,-0.601216,-0.295729
6.854157,-0.525358,-0.317397
6.965927,-0.451072,-0.341386
7.079518,-0.378093,-0.367526
7.194963,-0.296642,-0.404391
7.312289,-0.201898,-0.458786
7.431530,-0.100194,-0.525585
7.552714,0.021363,-0.632188
7.675874,0.144489,-0.747042
7.801043,0.264897,-0.938021
7.928253,0.387269,-1.132114
8.057537,0.391570,-1.486261
8.188930,0.387080,-1.857764
8.322465,0.132850,-2.283774
8.458178,-0.195551,-2.730322
8.596103,-0.810079,-2.880205
8.736278,-1.598815,-2.854800
8.878738,-2.116068,-2.614834
9.023522,-2.335474,-2.140278
9.170667,-2.480876,-1.692215
9.320210,-2.472694,-1.305664
9.472194,-2.449280,-0.951939
9.626655,-2.358230,-0.766782
9.783634,-2.265031,-0.582178
9.943173,-2.151863,-0.493555
10.105320,-2.036846,-0.403483
10.270100,-1.966762,-0.349238
10.437570,-1.901622,-0.298959
10.607780,-1.837896,-0.256881
10.780750,-1.774031,-0.217380
10.956550,-1.725086,-0.194995
11.135220,-1.686679,-0.184860
