Frequency(Hz),Real,Imaginary
11.316800,-1.644179,-0.171267
11.501340,-1.596489,-0.153182
11.688890,-1.554120,-0.135104
11.879500,-1.526273,-0.117484
12.073210,-1.497857,-0.101046
12.270090,-1.468245,-0.093560
12.470180,-1.438151,-0.085952
12.673520,-1.421760,-0.077530
12.880190,-1.405259,-0.068963
13.090220,-1.384611,-0.066315
13.303680,-1.362878,-0.064791
13.520620,-1.346084,-0.062710
13.741100,-1.331412,-0.060353
13.965170,-1.317141,-0.056824
14.192900,-1.303186,-0.052266
14.424340,-1.289245,-0.049149
14.659560,-1.275455,-0.048361
14.898610,-1.262067,-0.046632
15.141550,-1.250438,-0.041940
15.388460,-1.238802,-0.037670
15.639400,-1.228799,-0.038277
15.894430,-1.218633,-0.038894
16.153620,-1.208903,-0.034812
16.417030,-1.199051,-0.030376
16.684740,-1.191914,-0.030242
16.956810,-1.185416,-0.031254
17.233320,-1.178395,-0.030573
17.514340,-1.171027,-0.028928
17.799950,-1.164461,-0.027616
18.090210,-1.158740,-0.026652
18.385200,-1.153122,-0.025682
18.685000,-1.147786,-0.024716
18.989690,-1.142610,-0.023502
19.299360,-1.138376,-0.021303
19.614070,-1.133995,-0.019249
19.933910,-1.127913,-0.020898
20.258970,-1.121731,-0.022575
20.589320,-1.118381,-0.020524
20.925070,-1.115316,-0.018004
21.266290,-1.110023,-0.016842
21.613080,-1.103900,-0.016139
21.965520,-1.100186,-0.016034
22.323700,-1.098114,-0.016341
22.687730,-1.095714,-0.016464
23.057700,-1.092909,-0.016354
23.433690,-1.090358,-0.015310
23.815820,-1.088476,-0.012044
24.204180,-1.086263,-0.009552
24.598870,-1.082294,-0.011776
25.000000,-1.078260,-0.014036
