Frequency(Hz),Real,Imaginary
1.000000,0.324166,-0.004015
1.016307,0.327216,-0.006519
1.032879,0.328851,-0.007774
1.049722,0.332823,-0.006101
1.066840,0.335136,-0.003856
1.084237,0.339110,-0.006462
1.101917,0.343003,-0.006886
1.119886,0.346894,-0.006078
1.138148,0.349362,-0.002721
1.156707,0.354677,-0.006435
1.175569,0.359753,-0.003103
1.194739,0.364077,-0.006977
1.214221,0.366583,-0.005689
1.234021,0.372007,-0.008854
1.254144,0.376974,-0.006275
1.274595,0.381716,-0.005635
1.295380,0.386651,-0.005067
1.316504,0.392997,-0.009121
1.337971,0.400629,-0.012500
1.359789,0.404904,-0.008804
1.381963,0.412843,-0.011180
1.404499,0.417106,-0.008684
1.427401,0.426832,-0.014288
1.450678,0.433981,-0.011323
1.474334,0.442285,-0.015633
1.498375,0.449683,-0.011925
1.522809,0.456195,-0.009199
1.547641,0.470036,-0.014001
1.572878,0.475038,-0.009826
1.598527,0.490331,-0.012074
1.624593,0.507811,-0.018804
1.651085,0.520732,-0.019935
1.678009,0.535220,-0.017353
1.705372,0.548447,-0.019405
1.733181,0.559631,-0.015077
1.761444,0.583357,-0.022166
1.790167,0.601412,-0.023628
1.819359,0.615982,-0.021423
1.849027,0.635442,-0.023669
1.879179,0.663945,-0.025854
1.909822,0.693999,-0.027463
1.940965,0.726143,-0.029165
1.972616,0.765312,-0.030657
2.004783,0.792649,-0.038977
2.037475,0.845332,-0.038673
2.070699,0.894338,-0.049857
2.104466,0.965937,-0.066732
2.138783,1.042680,-0.052476
2.173660,1.135071,-0.067631
2.209105,1.268471,-0.084351
2.245129,1.419010,-0.108870
2.281739,1.728420,-0.162691
2.318947,2.190678,-0.121541
2.356762,3.097518,-0.379037
2.395193,4.625307,-2.776427
2.434251,-4.087012,-8.918757
2.473946,-3.453814,-0.895824
2.514288,-1.264013,-0.140700
2.555288,0.160831,-2.754186
2.596956,-2.410675,-0.965319
2.639304,-0.887277,-0.013449
2.682343,-0.493993,-0.009994
2.726083,-0.260030,-0.010109
2.770537,-0.106633,-0.005843
2.815715,0.025227,-0.012201
2.861631,0.123308,-0.013085
2.908295,0.216078,-0.016123
2.955719,0.297863,-0.022534
3.003918,0.372753,-0.025011
3.052902,0.445322,-0.029287
